date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:23	52/52	---MCZ	200	added ('OK')	text/plain	etag:W/%2226-58458f05a6e00%22	https://livewp.site/robots.txt		(from )
21:31:24	286008/286008	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jul%202023%2016:01:23%20GMT	https://livewp.site/wp/md/clengo/	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/index.html	(from )
21:31:24	27793/27793	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2013:11:02%20GMT	https://livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/column.css?ver=1689253862	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/column552e.css	(from https://livewp.site/wp/md/clengo/)
21:31:25	727/727	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2016%20Jan%202023%2014:02:47%20GMT	https://livewp.site/wp/md/clengo/comments/feed/	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/comments/feed/index.html	(from https://livewp.site/wp/md/clengo/)
21:31:25	98180/98180	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2016%20Jan%202023%2014:02:47%20GMT	https://livewp.site/wp/md/clengo/feed/	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/feed/index.html	(from https://livewp.site/wp/md/clengo/)
21:31:25	6001/6001	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2013:11:02%20GMT	https://livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-counter.css?ver=1689253862	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-counter552e.css	(from https://livewp.site/wp/md/clengo/)
21:31:25	24519/24519	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2013:11:02%20GMT	https://livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-button.css?ver=1689253862	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-button552e.css	(from https://livewp.site/wp/md/clengo/)
21:31:26	4247/4247	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2013:11:02%20GMT	https://livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-pricebox.css?ver=1689253862	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-pricebox552e.css	(from https://livewp.site/wp/md/clengo/)
21:31:26	5720/5720	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2013:11:02%20GMT	https://livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/slick.css?ver=1689253862	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/slick552e.css	(from https://livewp.site/wp/md/clengo/)
21:31:26	11582/11582	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2013:11:02%20GMT	https://livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-testimonials.css?ver=1689253862	E:/pranchal%20bhaiya/cleanApp/livewp.site/wp/md/clengo/wp-content/plugins/gt3-themes-core/dist/css/widgets/gt3-core-testimonials552e.css	(from https://livewp.site/wp/md/clengo/)
